"filename","signature"
"Mario Party 3 (USA).z64","9613A218"
"Mario Tennis (USA) (LodgeNet).z64","88650D39"
"Mario Tennis (USA) (Wii Virtual Console).z64","6B66D63B"
"Mario Tennis (USA).z64","6A8078F5"
"Mega Man 64 (USA) (Beta).z64","168E2FD8"
"Mega Man 64 (USA).z64","02E906A1"
"Mia Hamm Soccer 64 (USA) (En,Es).z64","E61E368A"
"Mickey no Racing Challenge USA (Japan).z64","0546998B"
"Mickey's Speedway USA (Europe) (En,Fr,De,Es,It).z64","194958ED"
"Mickey's Speedway USA (USA).z64","F0280886"
"Micro Machines 64 Turbo (USA).z64","F79F53CF"
"Midway's Greatest Arcade Hits - Volume 1 (USA) (LodgeNet).z64","41C5AB0D"
"Midway's Greatest Arcade Hits - Volume 1 (USA).z64","47F55A65"
"Mike Piazza's Strike Zone (USA).z64","844E2678"
"Milo's Astro Lanes (USA).z64","97A533C0"
"Mini Racers (USA) (Ja) (Proto).z64","D2BEF892"
"Mischief Makers (USA) (Rev 1).z64","B7108E95"
"Mischief Makers (USA).z64","941DBDC7"
"Mission - Impossible (USA).z64","DE05BEBD"
"Monaco Grand Prix (USA).z64","D1610042"
"Monopoly (USA).z64","B54EC52B"
"Monster Truck Madness 64 (USA).z64","6563ADE7"
"Mortal Kombat 4 (USA) (LodgeNet).z64","E37614BD"
"Mortal Kombat 4 (USA).z64","E0A11622"
"Mortal Kombat Mythologies - Sub-Zero (USA).z64","DD7CBFD6"
"Mortal Kombat Trilogy (USA) (1996-05-13) (Beta).z64","2B776FF8"
"Mortal Kombat Trilogy (USA) (Rev 1).z64","D4069EFC"
"Mortal Kombat Trilogy (USA) (Rev 2).z64","0FA0615B"
"Mortal Kombat Trilogy (USA).z64","4C7ACA52"
"Ms. Pac-Man - Maze Madness (USA).z64","903404E6"
"Mystical Ninja Starring Goemon (USA).z64","ADD7A87D"
"NASCAR 2000 (USA).z64","7BF2D3EB"
"NASCAR 99 (USA).z64","DA3391CC"
"NBA Courtside 2 featuring Kobe Bryant (USA).z64","6E251C9D"
"NBA Hangtime (USA).z64","95C1FEC7"
"NBA Jam 2000 (USA).z64","EE0902DE"
"NBA Jam 99 (USA) (Beta) (1998-09-25).z64","EDB19F36"
"NBA Jam 99 (USA).z64","AC73D889"
"NBA Live 2000 (USA) (En,Fr,De,Es).z64","DFF3047B"
"NBA Live 99 (USA) (En,Fr,De,Es,It).z64","2C389B1C"
"NBA Showtime - NBA on NBC (USA).z64","C2880286"
"NBA in the Zone '98 (USA).z64","5C02725A"
"NBA in the Zone '99 (USA).z64","7D55EEE7"
"NBA in the Zone 2000 (USA).z64","5E210D99"
"NFL Blitz (USA).z64","5738BDA3"
"NFL Blitz - Special Edition (USA).z64","AB10BD70"
"NFL Blitz 2000 (USA) (Rev 1).z64","1959A08A"
"NFL Blitz 2000 (USA).z64","DCE98B4C"
