"filename","signature"
"Namco Museum 64 (NTSC)","765D40EF"
"New Tetris, The (NTSC) (LodgeNet)","77B7503A"
"New Tetris, The (NTSC)","FB847357"
"Nightmare Creatures (NTSC)","9908C4C6"
"Nuclear Strike 64 (NTSC) (1999-09-21) (Beta)","913D4687"
"Nuclear Strike 64 (NTSC) (Beta) (Earlier)","92FBE838"
"Nuclear Strike 64 (NTSC)","A2FE0CB3"
"O.D.T. (NTSC) (En,Fr,Es) (Proto)","3F31702C"
"Off Road Challenge (NTSC)","5D49E6D6"
"Ogre Battle 64 - Person of Lordly Caliber (NTSC) (Rev 1)","FB04C6AC"
"Ogre Battle 64 - Person of Lordly Caliber (NTSC)","B372FA05"
"Olympic Hockey 98 (NTSC)","A5EE8965"
"PGA European Tour (NTSC)","D60FB3E2"
"Paper Mario (NTSC) (LodgeNet)","27816D07"
"Paper Mario (NTSC)","BE5799F3"
"Paperboy (NTSC)","6565B3A3"
"Penny Racers (NTSC)","5A98DE60"
"Perfect Dark (NTSC) (2000-03-22) (Debug)","FE737167"
"Perfect Dark (NTSC) (Rev 1)","BC576A02"
"Perfect Dark (NTSC)","4A30A808"
"Pilotwings 64 (NTSC) (LodgeNet)","435F3E5C"
"Pilotwings 64 (NTSC)","71D82DC2"
"Pokemon Puzzle League (NTSC)","77A46B7C"
"Pokemon Snap (NTSC) (LodgeNet)","CA96551B"
"Pokemon Snap (NTSC)","DDA4B861"
"Pokemon Snap Station (NTSC) (Demo) (Kiosk)","AA8F53F8"
"Pokemon Stadium (NTSC) (Rev 1)","2D0F5798"
"Pokemon Stadium (NTSC) (Rev 2)","E23B1AFC"
"Pokemon Stadium (NTSC)","4E6866EC"
"Pokemon Stadium 2 (NTSC)","DD37743A"
"Polaris SnoCross (NTSC)","F7A5D91B"
"Power Rangers - Lightspeed Rescue (NTSC)","BF3C8A26"
"Powerpuff Girls, The - Chemical X-Traction (NTSC) (Beta) (2001-09-27)","C120C16A"
"Powerpuff Girls, The - Chemical X-Traction (NTSC)","469CAAD8"
"Quake (NTSC)","A5AC98E4"
"Quake II (NTSC)","37579204"
"Quest 64 (NTSC)","9009A21A"
"RR64 - Ridge Racer 64 (NTSC)","838FADD3"
"Rally Challenge 2000 (NTSC)","EAD8D623"
"Rampage - World Tour (NTSC)","86766168"
"Rampage 2 - Universal Tour (NTSC) (LodgeNet)","7126C1D1"
"Rampage 2 - Universal Tour (NTSC)","796528C0"
"Rat Attack! (NTSC)","D5C471B2"
"Rayman 2 - The Great Escape (NTSC) (En,Fr,De,Es,It)","E487FEF7"
"Razor Freestyle Scooter (NTSC)","8B30B5A2"
"Re-Volt (NTSC)","C88D19DA"
"Ready 2 Rumble Boxing (NTSC) (LodgeNet)","29D587F4"
"Ready 2 Rumble Boxing (NTSC)","D51D95F6"
"Ready 2 Rumble Boxing - Round 2 (NTSC)","E34100CB"
"Resident Evil 2 (NTSC) (Rev 1)","29F97010"
"Resident Evil 2 (NTSC)","B4647966"
"Road Rash 64 (NTSC) (Beta 1)","D5824FD8"
"Road Rash 64 (NTSC) (Beta 2)","5DF296C3"
"Road Rash 64 (NTSC)","94329154"
"Roadsters (NTSC) (En,Fr,Es)","E30ED745"
"Robotech - Crystal Dreams (NTSC) (Proto 1)","2AE5889E"
"Robotech - Crystal Dreams (NTSC) (Proto 2)","79F7EB16"
"Robotron 64 (NTSC)","40BB5E42"
"Rocket - Robot on Wheels (NTSC)","9F9267A7"
"Rugrats - Scavenger Hunt (NTSC) (Beta) (1999-04-02)","41FE78A3"
"Rugrats - Scavenger Hunt (NTSC)","33B6A071"
"Rugrats in Paris - The Movie (NTSC)","7809ED5D"
"Rush 2 - Extreme Racing USA (PAL) (En,Fr,De,Es,It,Nl)","29171592"
"Rush 2 - Extreme Racing USA (NTSC) (LodgeNet)","C01944AF"
"Rush 2 - Extreme Racing USA (NTSC)","431A0DF7"
"S.C.A.R.S. (NTSC)","B98E996C"
"San Francisco Rush - Extreme Racing (NTSC) (En,Fr,De) (Rev 1)","5D505FFA"
"San Francisco Rush - Extreme Racing (NTSC) (En,Fr,De)","44FC8855"
"San Francisco Rush 2049 (NTSC)","8B0F5E93"
"Scooby-Doo! - Classic Creep Capers (NTSC) (Rev 1)","6839C119"
"Scooby-Doo! - Classic Creep Capers (NTSC)","DBCFD54B"
"Sesame Street - Elmo's Letter Adventure (NTSC)","AD282848"
